trial_id,site_id,indication,phase,planned_enrollment,actual_enrollment,months_to_target,screen_failure_rate,start_date,end_date
TRIAL-0081,SITE-0001,rheumatoid arthritis,Phase 2,20,29,7.1,0.25,09/07/2018,06/17/2019
TRIAL-0082,SITE-0033,ulcerative colitis,Phase 3,44,5,5.0,0.19,2024-02-07,09/04/2024
TRIAL-0083,SITE-0015,type 2 diabetes,Phase 3,57,14,3.0,0.26,06/30/2022,11/20/2022
TRIAL-0084,SITE-0016,heart failure,Phase 2,68,56,14.9,0.45,2021-06-24,2022-12-05
TRIAL-0085,SITE-0051,Crohn's disease,Phase 3,26,11,3.3,0.58,2021-11-16,02/27/2022
TRIAL-0086,SITE-0058,breast cancer,Phase 1,5,15,5.3,0.47,2016-02-07,2016-08-11
TRIAL-0087,SITE-0043,breast cancer,Phase 1/2,67,8,1.9,0.19,2019-03-20,2019-05-18
TRIAL-0088,SITE-0031,Crohn's disease,Phase 2,18,23,13.0,0.34,2021-11-26,01/22/2023
TRIAL-0089,SITE-0029,Non Small Cell Lung Cancer,Phase 3,56,23,10.7,0.19,2023-05-01,06/08/2024
TRIAL-0090,SITE-0027,heart failure,Phase 1/2,12,10,6.2,0.4,2023-03-26,2023-11-09
TRIAL-0091,SITE-0008,chronic kidney disease,Phase 1,34,5,7.1,0.24,2023-09-04,2024-05-09
TRIAL-0092,SITE-0003,NSCLC,Phase 3,7,9,26.0,0.46,06/19/2020,2022-08-17
TRIAL-0093,SITE-0040,Parkinson's disease,Phase 1/2,74,18,5.9,0.05,2016-08-07,2017-02-12
TRIAL-0094,SITE-0024,asthma,Phase 1/2,46,2,5.0,0.29,03/17/2020,2020-10-08
TRIAL-0095,SITE-0027,Non Small Cell Lung Cancer,Phase 3,36,35,13.2,0.35,01/17/2020,2021-03-01
TRIAL-0096,SITE-0032,type 2 diabetes,Phase 3,18,9,4.1,0.34,09/29/2021,03/22/2022
TRIAL-0097,SITE-0039,Non Small Cell Lung Cancer,Phase 3,54,3,2.8,0.55,05/31/2022,2022-10-28
TRIAL-0098,SITE-0010,multiple sclerosis,Phase 3,39,9,4.4,0.36,2019-05-12,2019-11-21
TRIAL-0099,SITE-0017,melanoma,Phase 1/2,30,31,8.3,0.2,09/11/2019,2020-07-12
TRIAL-0100,SITE-0046,asthma,Phase 2,43,5,9.9,0.29,06/19/2020,2021-05-22
TRIAL-0101,SITE-0035,asthma,Phase 2,46,22,7.0,0.35,2022-02-12,2022-10-03
TRIAL-0102,SITE-0051,psoriasis,Phase 2,61,33,11.9,0.09,2020-08-02,2021-10-19
TRIAL-0103,SITE-0017,multiple sclerosis,Phase 2,59,66,19.5,0.15,2023-10-04,2025-07-03
TRIAL-0104,SITE-0026,melanoma,Phase 1,18,16,8.7,0.22,2022-11-14,2023-08-07
TRIAL-0105,SITE-0046,heart failure,Phase 3,60,3,7.1,0.11,2018-06-24,2019-03-21
TRIAL-0106,SITE-0048,asthma,Phase 2,49,23,12.9,0.36,2016-12-17,2018-01-22
TRIAL-0107,SITE-0025,multiple sclerosis,Phase 3,63,24,7.5,0.11,07/30/2019,2020-03-19
TRIAL-0108,SITE-0009,non-small cell lung cancer,Phase 3,18,8,14.4,0.2,2021-10-14,01/11/2023
TRIAL-0109,SITE-0031,psoriasis,Phase 2,56,22,13.9,0.44,2018-03-19,2019-07-06
TRIAL-0110,SITE-0050,rheumatoid arthritis,Phase 2,40,20,10.2,0.18,2022-01-08,12/03/2022
TRIAL-0111,SITE-0009,multiple sclerosis,Phase 1/2,72,8,13.5,0.19,02/18/2021,2022-06-17
TRIAL-0112,SITE-0057,multiple sclerosis,Phase 1,22,12,4.9,0.35,2023-10-11,2024-03-24
TRIAL-0113,SITE-0010,asthma,Phase 1/2,59,8,1.6,0.35,11/14/2017,03/04/2018
TRIAL-0114,SITE-0059,psoriasis,Phase 1,50,19,14.1,0.45,2022-04-19,2023-08-19
TRIAL-0115,SITE-0035,heart failure,Phase 1/2,67,6,1.2,0.25,01/11/2022,2022-03-24
TRIAL-0116,SITE-0053,Crohn's disease,Phase 1/2,75,6,12.3,0.42,2020-02-11,04/24/2021
TRIAL-0117,SITE-0051,psoriasis,Phase 2,59,17,3.3,0.3,2018-12-12,05/04/2019
TRIAL-0118,SITE-0009,Crohn's disease,Phase 2,31,7,9.5,0.06,2022-11-04,2023-11-04
TRIAL-0119,SITE-0056,rheumatoid arthritis,Phase 2,12,14,3.4,0.2,03/31/2019,2019-09-22
TRIAL-0120,SITE-0048,Parkinson's disease,Phase 1,22,28,18.3,0.1,2023-05-10,11/25/2024
TRIAL-0121,SITE-0011,melanoma,Phase 3,36,9,8.1,0.17,03/16/2020,2021-01-10
TRIAL-0122,SITE-0055,Non Small Cell Lung Cancer,Phase 1/2,70,25,5.5,0.32,2022-07-11,2022-12-23
TRIAL-0123,SITE-0007,melanoma,Phase 1/2,50,18,12.1,0.34,08/15/2019,2020-09-17
TRIAL-0124,SITE-0040,Parkinson's disease,Phase 1/2,48,22,10.2,0.33,02/25/2021,2021-12-30
TRIAL-0125,SITE-0032,psoriasis,Phase 1,59,7,3.8,0.2,2019-01-27,06/01/2019
TRIAL-0126,SITE-0026,breast cancer,Phase 2,11,15,8.2,0.08,10/24/2020,09/17/2021
TRIAL-0127,SITE-0015,psoriasis,Phase 1,21,17,5.7,0.21,09/25/2020,06/11/2021
TRIAL-0128,SITE-0027,Non Small Cell Lung Cancer,Phase 1,18,7,4.2,0.44,2017-06-29,01/23/2018
TRIAL-0129,SITE-0037,asthma,Phase 1,26,27,4.9,0.43,12/17/2020,06/09/2021
TRIAL-0130,SITE-0054,Non Small Cell Lung Cancer,Phase 1/2,49,19,5.0,0.45,2018-10-13,2019-05-21
TRIAL-0131,SITE-0021,Crohn's disease,Phase 1,43,15,3.8,0.27,2018-09-07,03/03/2019
TRIAL-0132,SITE-0044,asthma,Phase 1,72,23,17.6,0.26,2017-06-24,2019-01-22
TRIAL-0133,SITE-0026,ulcerative colitis,Phase 2,65,24,13.4,0.36,2016-09-04,2017-11-30
TRIAL-0134,SITE-0036,Crohn's disease,Phase 1/2,59,8,9.2,0.16,09/17/2017,07/25/2018
TRIAL-0135,SITE-0015,Crohn's disease,Phase 2,73,9,1.8,0.26,2023-11-01,2024-02-18
TRIAL-0136,SITE-0004,rheumatoid arthritis,Phase 1,60,4,2.5,0.21,05/19/2023,2023-08-24
TRIAL-0137,SITE-0049,non-small cell lung cancer,Phase 2,68,1,3.2,0.31,2019-01-05,04/26/2019
TRIAL-0138,SITE-0057,heart failure,Phase 3,72,9,2.7,0.18,09/23/2021,2022-01-28
TRIAL-0139,SITE-0012,type 2 diabetes,Phase 2,37,38,8.3,0.3,06/29/2016,2017-03-06
TRIAL-0140,SITE-0027,chronic kidney disease,Phase 2,27,27,6.7,0.19,05/09/2023,01/18/2024
TRIAL-0141,SITE-0051,type 2 diabetes,Phase 3,14,14,6.1,0.37,07/07/2016,2017-02-26
TRIAL-0142,SITE-0021,Crohn's disease,Phase 3,46,22,7.4,0.28,2022-04-28,01/13/2023
TRIAL-0143,SITE-0026,asthma,Phase 1/2,30,8,3.8,0.4,08/12/2018,2019-02-11
TRIAL-0144,SITE-0001,type 2 diabetes,Phase 1,53,34,13.7,0.37,2018-09-02,12/10/2019
TRIAL-0145,SITE-0011,melanoma,Phase 3,16,3,6.1,0.24,12/13/2016,08/27/2017
TRIAL-0146,SITE-0058,heart failure,Phase 1,80,18,5.6,0.23,2019-04-09,2019-10-27
TRIAL-0147,SITE-0029,melanoma,Phase 3,45,24,12.3,0.31,09/28/2017,2018-10-15
TRIAL-0148,SITE-0030,Non Small Cell Lung Cancer,Phase 3,31,12,4.2,0.34,10/07/2017,2018-05-08
TRIAL-0149,SITE-0042,non-small cell lung cancer,Phase 2,46,10,1.0,0.1,12/01/2018,2019-01-22
TRIAL-0150,SITE-0032,ulcerative colitis,Phase 2,17,12,8.1,0.31,06/29/2018,2019-03-15
TRIAL-0151,SITE-0048,breast cancer,Phase 1,79,21,10.4,0.34,2017-06-11,2018-04-30
TRIAL-0152,SITE-0024,Non Small Cell Lung Cancer,Phase 1,64,7,18.5,0.17,2016-04-30,12/24/2017
TRIAL-0153,SITE-0015,chronic kidney disease,Phase 2,40,18,6.0,0.15,2021-08-05,2022-03-25
TRIAL-0154,SITE-0007,multiple sclerosis,Phase 1/2,22,7,6.6,0.18,2023-01-27,2023-10-21
TRIAL-0155,SITE-0056,melanoma,Phase 3,66,8,2.5,0.24,2016-04-16,08/09/2016
TRIAL-0156,SITE-0057,Crohn's disease,Phase 3,12,19,5.8,0.24,08/11/2018,2019-02-21
TRIAL-0157,SITE-0020,ulcerative colitis,Phase 1,33,4,11.3,0.35,2023-10-28,11/15/2024
TRIAL-0158,SITE-0049,type 2 diabetes,Phase 2,77,6,20.5,0.26,06/04/2016,2018-02-20
TRIAL-0159,SITE-0002,ulcerative colitis,Phase 1/2,5,5,1.6,0.22,08/18/2019,2019-10-12
TRIAL-0160,SITE-0011,Crohn's disease,Phase 1,72,3,1.0,0.48,06/08/2020,09/21/2020
TRIAL-0161,SITE-0010,NSCLC,Phase 1/2,67,34,17.7,0.3,2022-08-09,2024-02-13
TRIAL-0162,SITE-0021,NSCLC,Phase 2,5,14,1.0,0.52,05/13/2022,06/16/2022
TRIAL-0163,SITE-0057,asthma,Phase 2,77,6,2.7,0.31,2017-11-18,04/29/2018
TRIAL-0164,SITE-0050,breast cancer,Phase 3,62,10,6.3,0.32,2018-11-17,06/07/2019
TRIAL-0165,SITE-0032,melanoma,Phase 1/2,26,13,8.5,0.12,2022-06-25,05/29/2023
TRIAL-0166,SITE-0032,Non Small Cell Lung Cancer,Phase 1,42,7,5.1,0.27,11/27/2017,06/16/2018
TRIAL-0167,SITE-0007,type 2 diabetes,Phase 1/2,8,7,3.6,0.31,2018-04-21,2018-08-31
TRIAL-0168,SITE-0051,ulcerative colitis,Phase 3,41,22,9.0,0.33,07/03/2021,04/18/2022
TRIAL-0169,SITE-0007,multiple sclerosis,Phase 1/2,30,6,6.6,0.22,2020-06-16,2021-03-01
TRIAL-0170,SITE-0007,breast cancer,Phase 1/2,28,9,5.7,0.38,2018-12-14,07/29/2019
TRIAL-0171,SITE-0020,asthma,Phase 1,24,4,10.9,0.32,2022-08-12,2023-08-03
TRIAL-0172,SITE-0058,ulcerative colitis,Phase 1/2,73,21,6.1,0.24,2019-05-09,2019-11-18
TRIAL-0173,SITE-0003,ulcerative colitis,Phase 2,20,1,3.9,0.49,2017-05-31,2017-09-30
TRIAL-0174,SITE-0031,rheumatoid arthritis,Phase 2,38,11,7.6,0.36,2022-03-11,2022-12-05
TRIAL-0175,SITE-0001,Crohn's disease,Phase 1/2,19,20,8.8,0.42,2017-02-17,2017-12-14
TRIAL-0176,SITE-0030,multiple sclerosis,Phase 1/2,67,21,8.6,0.3,2017-08-12,2018-07-15
TRIAL-0177,SITE-0003,heart failure,Phase 3,35,0,1.0,0.5,05/26/2019,2019-08-03
TRIAL-0178,SITE-0049,breast cancer,Phase 1,34,1,3.8,0.18,2024-03-04,08/18/2024
TRIAL-0179,SITE-0032,rheumatoid arthritis,Phase 1/2,67,26,14.7,0.29,2023-12-16,2025-05-04
TRIAL-0180,SITE-0037,chronic kidney disease,Phase 1,27,18,5.3,0.2,2021-02-12,2021-07-27
TRIAL-0181,SITE-0020,type 2 diabetes,Phase 1/2,69,5,13.2,0.17,2017-12-28,03/29/2019
TRIAL-0182,SITE-0012,Parkinson's disease,Phase 3,16,22,8.4,0.35,2018-05-27,2019-03-03
TRIAL-0183,SITE-0020,breast cancer,Phase 1/2,70,1,1.0,0.22,2017-12-10,03/26/2018
TRIAL-0184,SITE-0042,Crohn's disease,Phase 3,40,23,8.9,0.17,06/12/2018,2019-05-04
TRIAL-0185,SITE-0043,heart failure,Phase 1,5,10,1.0,0.13,2019-03-03,2019-05-10
TRIAL-0186,SITE-0024,multiple sclerosis,Phase 3,40,11,9.0,0.35,2018-09-11,2019-06-15
TRIAL-0187,SITE-0042,heart failure,Phase 3,22,10,1.0,0.38,2016-05-24,2016-09-05
TRIAL-0188,SITE-0014,type 2 diabetes,Phase 2,73,6,10.4,0.18,2021-09-08,2022-08-24
TRIAL-0189,SITE-0039,NSCLC,Phase 3,17,16,5.2,0.29,2023-08-16,03/01/2024
TRIAL-0190,SITE-0016,melanoma,Phase 3,58,31,7.6,0.39,2021-03-14,2021-11-12
TRIAL-0191,SITE-0041,asthma,Phase 1,65,5,3.5,0.16,2017-09-09,01/09/2018
TRIAL-0192,SITE-0040,chronic kidney disease,Phase 1/2,23,16,6.3,0.14,01/28/2023,08/27/2023
TRIAL-0193,SITE-0032,multiple sclerosis,Phase 2,26,19,14.5,0.37,2020-10-24,2022-02-22
TRIAL-0194,SITE-0001,non-small cell lung cancer,Phase 2,52,47,17.0,0.13,03/14/2016,2017-10-31
TRIAL-0195,SITE-0016,melanoma,Phase 3,44,10,4.2,0.31,2019-04-06,2019-10-07
TRIAL-0196,SITE-0024,heart failure,Phase 2,48,34,10.2,0.5,07/10/2020,2021-05-14
TRIAL-0197,SITE-0010,rheumatoid arthritis,Phase 1,80,28,13.4,0.16,12/30/2021,2023-04-25
TRIAL-0198,SITE-0047,Non Small Cell Lung Cancer,Phase 1,11,16,13.4,0.3,2018-11-01,02/06/2020
TRIAL-0199,SITE-0048,breast cancer,Phase 1,43,20,11.2,0.23,2017-03-05,04/10/2018
TRIAL-0200,SITE-0009,Crohn's disease,Phase 1,68,2,3.5,0.06,2018-04-06,09/03/2018
TRIAL-0201,SITE-0003,ulcerative colitis,Phase 1/2,31,3,8.2,0.16,2022-06-09,2023-05-05
TRIAL-0202,SITE-0055,ulcerative colitis,Phase 1,17,15,4.8,0.64,2019-04-27,10/21/2019
TRIAL-0203,SITE-0013,Parkinson's disease,Phase 1,42,14,9.3,0.35,04/04/2023,2024-01-29
TRIAL-0204,SITE-0043,multiple sclerosis,Phase 1,52,45,13.3,0.36,2021-02-12,2022-04-21
TRIAL-0205,SITE-0034,Crohn's disease,Phase 1/2,26,15,3.4,0.49,2021-05-31,11/21/2021
TRIAL-0206,SITE-0027,Crohn's disease,Phase 3,8,10,1.9,0.29,08/11/2020,12/02/2020
TRIAL-0207,SITE-0023,non-small cell lung cancer,Phase 2,48,17,6.7,0.1,03/12/2023,2023-11-17
TRIAL-0208,SITE-0043,non-small cell lung cancer,Phase 1,25,32,10.5,0.09,11/02/2016,11/14/2017
TRIAL-0209,SITE-0020,non-small cell lung cancer,Phase 2,75,3,9.2,0.13,2016-12-26,11/30/2017
TRIAL-0210,SITE-0035,melanoma,Phase 1,18,18,6.8,0.28,2017-01-07,2017-10-15
TRIAL-0211,SITE-0036,ulcerative colitis,Phase 2,63,9,12.1,0.34,2022-12-13,2024-02-25
TRIAL-0212,SITE-0050,psoriasis,Phase 1,17,13,9.6,0.28,2023-02-08,2023-12-30
TRIAL-0213,SITE-0008,non-small cell lung cancer,Phase 2,68,2,1.4,0.28,05/09/2017,2017-08-09
TRIAL-0214,SITE-0014,melanoma,Phase 3,18,10,16.8,0.18,2022-08-08,2024-01-09
TRIAL-0215,SITE-0047,asthma,Phase 2,68,3,1.0,0.35,2021-09-13,11/04/2021
TRIAL-0216,SITE-0058,NSCLC,Phase 1,54,20,8.0,0.18,2020-04-24,2021-02-11
TRIAL-0217,SITE-0054,rheumatoid arthritis,Phase 3,55,44,11.6,0.08,2021-09-29,2022-10-20
TRIAL-0218,SITE-0023,melanoma,Phase 2,30,6,4.8,0.43,2023-12-19,08/02/2024
TRIAL-0219,SITE-0038,melanoma,Phase 3,19,3,5.6,0.24,2021-12-26,2022-07-18
TRIAL-0220,SITE-0001,ulcerative colitis,Phase 1,8,8,2.4,0.21,2017-10-21,02/06/2018
TRIAL-0221,SITE-0004,melanoma,Phase 3,31,21,19.1,0.15,2022-04-20,2023-12-12
TRIAL-0222,SITE-0017,ulcerative colitis,Phase 3,11,17,2.2,0.39,2023-09-07,12/22/2023
TRIAL-0223,SITE-0053,multiple sclerosis,Phase 2,61,10,16.0,0.17,2022-10-07,2024-02-24
TRIAL-0224,SITE-0021,psoriasis,Phase 2,14,16,4.6,0.22,06/15/2016,12/24/2016
TRIAL-0225,SITE-0012,asthma,Phase 3,5,7,1.0,0.43,2023-01-05,04/23/2023
TRIAL-0226,SITE-0056,asthma,Phase 3,14,19,1.5,0.23,2021-11-02,12/25/2021
TRIAL-0227,SITE-0038,ulcerative colitis,Phase 1/2,16,5,9.2,0.23,2022-12-07,2023-11-15
TRIAL-0228,SITE-0054,breast cancer,Phase 1,19,26,7.9,0.17,2016-06-12,2017-05-02
TRIAL-0229,SITE-0056,Non Small Cell Lung Cancer,Phase 1/2,37,28,10.9,0.14,06/16/2021,2022-05-14
TRIAL-0230,SITE-0023,ulcerative colitis,Phase 1,17,11,11.1,0.25,2018-05-13,07/05/2019
TRIAL-0231,SITE-0048,heart failure,Phase 1,31,13,2.7,0.11,09/11/2023,2023-12-20
TRIAL-0232,SITE-0003,Non Small Cell Lung Cancer,Phase 1,11,0,1.0,0.22,2018-07-21,2018-09-22
TRIAL-0233,SITE-0029,heart failure,Phase 3,7,16,5.9,0.46,2016-07-05,2017-03-28
TRIAL-0234,SITE-0036,Non Small Cell Lung Cancer,Phase 3,43,9,11.8,0.15,06/06/2020,08/18/2021
TRIAL-0235,SITE-0016,NSCLC,Phase 1/2,74,17,4.0,0.08,03/17/2022,09/24/2022
TRIAL-0236,SITE-0040,asthma,Phase 1/2,73,39,13.7,0.47,02/21/2024,2025-05-21
TRIAL-0237,SITE-0060,ulcerative colitis,Phase 2,25,15,3.3,0.37,2016-08-10,2017-01-26
TRIAL-0238,SITE-0021,breast cancer,Phase 1,37,22,5.1,0.29,2017-06-09,02/02/2018
TRIAL-0239,SITE-0043,Non Small Cell Lung Cancer,Phase 2,45,23,8.2,0.37,07/19/2019,05/13/2020
TRIAL-0240,SITE-0056,rheumatoid arthritis,Phase 1/2,40,42,10.9,0.18,2021-05-19,2022-06-09
TRIAL-0241,SITE-0035,ulcerative colitis,Phase 1,27,29,11.7,0.34,2023-01-10,2024-01-05
TRIAL-0242,SITE-0060,ulcerative colitis,Phase 1,79,30,8.1,0.31,2018-12-03,2019-10-11
TRIAL-0243,SITE-0046,Crohn's disease,Phase 2,51,5,9.6,0.37,2017-01-05,12/09/2017
TRIAL-0244,SITE-0017,Parkinson's disease,Phase 2,70,22,7.4,0.54,2023-05-24,2024-01-19
TRIAL-0245,SITE-0025,non-small cell lung cancer,Phase 2,67,17,6.6,0.35,2020-01-19,2020-09-22
